ID,City_Project,type,description,proposer,project_address,Date_created,meeting_event,link,Map coordinates,Up Votes,Down Votes,Population,Percent
16,Federal Boulevard,City proposal,The Public Works Department began a PEL for Federal Boulevard from 5th Avenue to Howard Place in 2009 to support continued multimodal improvements along Federal Boulevard.,Mrs. L,5th Avenue to Howard Pl. Design,11/11/2012,,http://www.denvergov.org/FederalBoulevard/tabid/442758/Default.aspx,"39.746774,-104.991798",163,463,74923,0.835524472
17,Peoria Crossing,City proposal,"The City and County of Denver, City of Aurora and Regional Transportation District (RTD) are sponsoring a project to construct an overpass (bridge) on Peoria Street between East 39th Avenue and Baranmor Parkway.",Mr. M,Peoria Street between East 39th Avenue and Baranmor Parkway,12/10/2012,,http://www.denvergov.org/PeoriaStreetCrossingGradeSeparation/tabid/442724/Default.aspx,"39.771084,-104.846961",895,234,23379,4.829120151
18,Safe Routes to School,City proposal,"Community leaders, parents and schools across the country are using SRTS programs to encourage and enable more children to safely walk and bike to school",Mrs. N,Denver,10/2/2012,,http://www.denvergov.org/SafeRoutestoSchool/tabid/442763/Default.aspx,"39.733695,-105.001574",105,146,63091,0.397838043
19,Santa Fe / Kalamath Bicycle & Pededestrian Crossing Study,City proposal,"The Santa Fe and Kalamath Pedestrian and Bicycle Crossing Study seeks to identify pedestrian and cyclist movements and impediments to movement and propose near-term, implementable solutions within the study area.  The study area is bound by Santa Fe, Kalamath, 9th Avenue, and 14th Avenue.",Mr. O,"Santa Fe, Kalamath, 9th Avenue, and 14th Avenue",9/9/2012,,http://www.denvergov.org/SantaFeKalamathBicyclePedCrossingStudy/tabid/442761/Default.aspx,"39.740028,-104.999962",293,130,64049,0.660431857
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
